Sentiment,Topic,text
Neutral,san francisco,is in San Francisco at Bay to Breakers.
Positive,san francisco,just landed at San Francisco
Positive,san francisco,San Francisco today.  Any suggestions?
Negative,star trek,@YarnThing you will not regret going to see Star Trek. It was AWESOME!
Negative,star trek,On my way to see Star Trek @ The Esquire.
Negative,star trek,Going to see star trek soon with my dad.
Negative,Malcolm Gladwell,annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.
Negative,Malcolm Gladwell,Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50
Neutral,Malcolm Gladwell,Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell
Positive,Malcolm Gladwell,Blink by malcolm gladwell amazing book and The tipping point!
Negative,Malcolm Gladwell,Malcolm Gladwell might be my new man crush
Negative,nike,just changed my default pic to a Nike basketball cause bball is awesome!!!!!
Neutral,nike,"Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding"
Neutral,nike,"'Next time, I'll call myself Nike'"
Positive,nike,New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT
Negative,nike,RT @SmartChickPDX: Was just told that Nike layoffs started today :-(
Neutral,nike,Back when I worked for Nike we had one fav word : JUST DO IT! :)
Negative,nike,"By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9"
Neutral,stanford,@accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off!
Neutral,stanford,"NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9"
Negative,stanford,New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo
Neutral,insects,insects have infected my spinach plant :(
Neutral,insects,wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects
Positive,insects,"just got back from church, and I totally hate insects."
Negative,mcdonalds,Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it
Positive,mcdonalds,omgg i ohhdee want mcdonalds damn i wonder if its open lol =]
Positive,china,"Rocawear Heads to China, Building 300 Stores  - http://tinyurl.com/nofet3"
Positive,china,"Climate focus turns to Beijing: The United Nations, the US and European governments have called on China to co-o.. http://tinyurl.com/lto92n"
Negative,china,myfoxdc Barrie Students Back from Trip to China: A Silver Spring high school's class trip to China has en.. http://tinyurl.com/nlhqba
Positive,china,"Three China aerospace giants develop Tianjin Binhai  New Area,  22.9 B yuan invested   http://bit.ly/mMiDv"
Negative,dentist,"My wrist still hurts. I have to get it looked at. I HATE the dr/dentist/scary places. :( Time to watch Eagle eye. If you want to join, txt!"
Neutral,dentist,Dentist tomorrow. Have to brush well in the morning. Like I make my hair all nice before I get it cut. Why?
Neutral,dentist,"THE DENTIST LIED! "" U WON'T FEEL ANY DISCOMORT! PROB WON'T EVEN NEED PAIN PILLS"" MAN U TWIPPIN THIS SHIT HURT!! HOW MANY PILLS CAN I TAKE!!"
Negative,dentist,@kirstiealley my dentist is great but she's expensive...=(
Neutral,dentist,@kirstiealley Pet Dentist http://www.funnyville.com/fv/pictures/dogdentures.shtml
Positive,dentist,is studing math ;) tomorrow exam and dentist :)
Positive,dentist,my dentist was wrong... WRONG
Neutral,dentist,Going to the dentist later.:|
Negative,dentist,Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell?
Neutral,baseball,NCAA Baseball Super Regional - Rams Club http://bit.ly/Ro7nx
Neutral,baseball,just started playing Major League Baseball 2K9. http://raptr.com/H3LLGWAR
Negative,baseball,Cardinals baseball advance to Super Regionals. Face CS-Fullerton Friday.
Positive,eating,Your Normal Weight (and How to Get There) ? Normal Eating Blog http://bit.ly/ZeT8O
Positive,eating,Is Eating and Watching Movies....
Neutral,eating,eating sashimi
Neutral,eating,is eating  home made yema
Neutral,eating,eating cake
Neutral,nike,i love Dwight Howard's vitamin water commercial... now i wish he was with NIKE and not adidas. lol.
Negative,nike,Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic
Positive,nike,iPhone May Get Radio Tagging and Nike  : Recently-released iTunes version 8.2 suggests that VoiceOver functional.. http://tinyurl.com/oq5ctc
Negative,nike,is lovin his Nike  already and that's only from running on the spot in his bedroom
Positive,warren buffet,"@PDubyaD right!!! LOL we'll get there!! I have high expectations, Warren Buffet style."
Positive,warren buffet,"RT @blknprecious1: RT GREAT @dbroos ""Someone's sitting in the shade today because someone planted a tree a long time ago.""- Warren Buffet"
Neutral,warren buffet,Warren Buffet on the economy http://ping.fm/Lau0p
Positive,warren buffet,"Warren Buffet became (for a time) the richest man in the United States, not by working but investing in 1 Big idea which lead to the fortune"
Negative,kindle2,@BlondeBroad it's definitely under warranty &amp; my experience is the amazon support for kindle is great! had to contact them about my kindle2
Neutral,kindle2,"RT Look, Available !Amazon Kindle2 &amp; Kindle DX, Get it Here: http://short.to/87ub The Top Electronic Book Reader Period, free 2 day ship ..."
Negative,stanford,We went to Stanford University today. Got a tour. Made me want to go back to college. It's also decided all of our kids will go there.
Positive,stanford,Investigation pending on death of Stanford CS prof / Google mentor Rajeev Motwani http://bit.ly/LwOUR tip @techmeme
Positive,stanford,"I'm going to bed. It was a successful weekend. Stanford, here I come."
Negative,at&t,#at&amp;t is complete fail.
Negative,at&t,@broskiii OH SNAP YOU WORK AT AT&amp;T DON'T YOU
Neutral,at&t,@Mbjthegreat i really dont want AT&amp;T phone service..they suck when it comes to having a signal
Positive,at&t,"I say we just cut out the small talk: AT&amp;T's new slogan: F__k you, give us your money. (Apologies to Bob Geldof.)"
Neutral,at&t,pissed about at&amp;t's mid-contract upgrade price for the iPhone (it's $200 more) I'm not going to pay $499 for something I thought was $299
Negative,at&t,Safari 4 is fast :) Even on my shitty AT&amp;T tethering.
Positive,at&t,@ims What is AT&amp;T fucking up?
Positive,at&t,@springsingfiend @dvyers @sethdaggett @jlshack AT&amp;T dropped the ball and isn't supporting crap with the new iPhone 3.0... FAIL #att SUCKS!!!
Positive,at&t,"@MMBarnhill yay, glad you got the phone! Still, damn you, AT&amp;T."
Negative,google,@mattcutts have google profiles stopped showing up in searches? cant see them anymore
Neutral,google,@ArunBasilLal I love Google Translator too ! :D Good day mate !
Negative,kindle2,reading on my new Kindle2!
Neutral,kindle2,My Kindle2 came and I LOVE it! :)
Positive,kindle2,"LOVING my new Kindle2.  Named her Kendra in case u were wondering. The ""cookbook"" is THE tool cuz it tells u all the tricks!  Best gift EVR!"
Negative,lebron,LEbron james got in a car accident i guess..just heard it on evening news...wow i cant believe it..will he be ok ? http://twtad.com/69750
Neutral,lebron,is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals
Positive,lebron,"@khalid0456 No, Lebron is the best"
Neutral,lebron,@the_real_usher LeBron is cool.  I like his personality...he has good character.
Negative,lebron,Watching Lebron highlights. Damn that niggas good
Neutral,lebron,@Lou911 Lebron is MURDERING shit.
Neutral,lebron,@uscsports21 LeBron is a monsta and he is only 24. SMH The world ain't ready.
Neutral,lebron,@cthagod when Lebron is done in the NBA he will probably be greater than Kobe. Like u said Kobe is good but there alot of 'good' players.
Neutral,lebron,KOBE IS GOOD BT LEBRON HAS MY VOTE
Neutral,lebron,Kobe is the best in the world not lebron .
Positive,kindle2,"@crlane I have the Kindle2. I've seen pictures of the DX, but haven't seen it in person. I love my Kindle - I'm on it everyday."
Negative,kindle2,@criticalpath Such an awesome idea - the  continual learning program with a Kindle2  http://bit.ly/1ZLfF
Positive,google,http://is.gd/ArUJ Good video from Google on using search options.
Positive,stanford,Stanford Charity Fashion Show a top draw http://cli.gs/NeNuAH
Negative,stanford,Stanford University?s Facebook Profile is One of the Most Popular Official University Pages - http://tinyurl.com/p5b3fl
Negative,san francisco,Boarding plane for San Francisco in 1 hour; 6 hr flight. Blech.
Negative,san francisco,bonjour San Francisco. My back hurts from last night..
Negative,san francisco,"breakers. in San Francisco, CA http://loopt.us/4v88Bw.t"
Negative,san francisco,Heading to San Francisco
Negative,san francisco,With my best girl for a few more hours in San francisco. Mmmmmfamily is wonderful!
Neutral,star trek,Went to see the Star Trek movie last night.  Very satisfying.
Positive,star trek,"I can't wait, going to see star trek tonight!!"
Positive,star trek,Star Trek was as good as everyone said!!
Negative,Malcolm Gladwell,am loving new malcolm gladwell book - outliers
Negative,Malcolm Gladwell,I highly recommend Malcolm Gladwell's 'The Tipping Point.' My next audiobook will probably be one of his as well.
Positive,Malcolm Gladwell,Malcolm Gladwell is a genius at tricking people into not realizing he's a fucking idiot
Positive,Malcolm Gladwell,"@sportsguy33 hey no offense but malcolm gladwell is a pretenious, annoying cunt and he brings you down. cant read his shit"
Positive,Malcolm Gladwell,RT @clashmore: http://bit.ly/SOYv7  Great article by Malcolm Gladwell.
Neutral,Malcolm Gladwell,I seriously underestimated Malcolm Gladwell.  I want to meet this dude.
Neutral,nike,Off to the NIKE factory!!!
Neutral,nike,New nike muppet commercials are pretty cute. Why do we live together again?
Positive,nike,New blog post: Nike Zoom LeBron Soldier 3 (III) - White / Black - Teal http://bit.ly/rouUS
Neutral,nike,New blog post: Nike Trainer 1 http://bit.ly/394bp
Negative,nike,@Fraggle312 oh those are awesome! i so wish they weren't owned by nike :(
Neutral,stanford,@ atebits I just finished watching your Stanford iPhone Class session. I really appreciate it. You Rock!
Positive,stanford,@jktweet Hi! Just saw your Stanford talk and really liked your advice. Just saying Hi from Singapore (yes the videos do get around)
Positive,stanford,#MBA Admissions Tips Stanford GSB Deadlines and Essay Topics 2009-2010 http://tinyurl.com/pet4fd
Positive,stanford,Ethics and nonprofits - http://bit.ly/qsXRp  #stanford #socialentrepreneurship
Neutral,insects,ugh. the amount of times these stupid insects have bitten me. Grr..
Positive,insects,Prettiest insects EVER - Pink Katydids: http://bit.ly/2Upw2p
Neutral,insects,Just got barraged by a horde of insects hungry for my kitchen light. So scary.
Positive,mcdonalds,Just had McDonalds for dinner. :D It was goooood. Big Mac Meal. ;)
Negative,mcdonalds,AHH YES LOL IMA TELL MY HUBBY TO GO GET ME SUM MCDONALDS =]
Positive,mcdonalds,Stopped to have lunch at McDonalds. Chicken Nuggetssss! :) yummmmmy.
Negative,mcdonalds,Could go for a lot of McDonalds. i mean A LOT.
Positive,china,Lawson to head Newedge Hong Kong http://bit.ly/xLQSD #business #china
Positive,china,Weird Piano Guitar House in China! http://u2s.me/72i8
Neutral,dentist,My dentist appt today was actually quite enjoyable.
Positive,dentist,I hate the effing dentist.
Positive,dentist,@stevemoakler i had a dentist appt this morning and had the same conversation!
Positive,dentist,@kirstiealley I hate going to the dentist.. !!!
Negative,dentist,i hate the dentist....who invented them anyways?
Negative,dentist,this dentist's office is cold :/
Negative,dentist,Check this video out -- David After Dentist http://bit.ly/47aW2
Positive,dentist,First dentist appointment [in years] on Wednesday possibly.
Neutral,baseball,Tom Shanahan's latest column on SDSU and its NCAA Baseball Regional appearance: http://ow.ly/axhu
Positive,baseball,BaseballAmerica.com: Blog: Baseball America Prospects Blog ? Blog ... http://bit.ly/EtT8a
Neutral,baseball,Portland city politics may undo baseball park http://tinyurl.com/lpjquj
Negative,eating,Saved money by opting for grocery store trip and stocking food in hotel room fridge vs. eating out every night while out of town.
Negative,eating,"Lounging around, eating Taco Bell and watching NCIS before work tonight. Need help staying awake."
Neutral,eating,eating breakfast and then school
Neutral,eating,still hungry after eating....
Positive,eating,10 tips for healthy eating ? ResultsBy Fitness Blog :: Fitness ... http://bit.ly/62gFn
Positive,eating,"with the boyfriend, eating a quesadilla"
Neutral,eating,"Eating dinner. Meat, chips, and risotto."
Positive,nike,got a new pair of nike shoes. pics up later
Positive,nike,"Nike SB Blazer High ""ACG"" Custom - Brad Douglas - http://timesurl.at/45a448"
Negative,nike,Nike rocks. I'm super grateful for what I've done with them :) &amp; the European Division of NIKE is BEYOND! @whitSTYLES @muchasmuertes
Positive,nike,Nike Air Yeezy Khaki/Pink Colorway Release - http://shar.es/bjfN
Negative,nike,@evelynbyrne have you tried Nike  ? V. addictive.
Negative,nike,@erickoston That looks an awful lot like one of Nike's private jets....I'm just sayin....
Positive,nike,The Nike Training Club (beta) iPhone app looks very interesting.
Positive,warren buffet,What's Buffet Doing? Warren Buffett Kicks Butt In Battle of the Boots: Posted By:Alex Crippe.. http://bit.ly/AUIzO
Positive,warren buffet,"SUPER INVESTORS: A great weekend read here from Warren Buffet. Oldie, but a goodie. http://tinyurl.com/oqxgga"
Neutral,warren buffet,I'm truly braindead.  I couldn't come up with Warren Buffet's name to save my soul
Neutral,warren buffet,"reading Michael Palin book, The Python Years...great book. I also recommend Warren Buffet &amp; Nelson Mandela's bio"
Positive,kindle2,I still love my Kindle2 but reading The New York Times on it does not feel natural. I miss the Bloomingdale ads.
Neutral,kindle2,I love my Kindle2. No more stacks of books to trip over on the way to the loo.
Negative,at&t,"Although today's keynote rocked, for every great announcement, AT&amp;T shit on us just a little bit more."
Negative,at&t,"@sheridanmarfil - its not so much my obsession with cell phones, but the iphone!  i'm a slave to at&amp;t forever because of it. :)"
Negative,at&t,@freitasm oh I see. I thought AT&amp;T were 900MHz WCDMA?
Negative,at&t,@Plip Where did you read about tethering support Phil?  Just AT&amp;T or will O2 be joining in?
Negative,at&t,Fuzzball is more fun than AT&amp;T ;P http://fuzz-ball.com/twitter
Negative,at&t,"Today is a good day to dislike AT&amp;T. Vote out of office indeed, @danielpunkass"
Neutral,kindle2,I hope the girl at work  buys my Kindle2
Negative,kindle2,Missed this insight-filled May column: One smart guy looking closely at why he's impressed with Kindle2 http://bit.ly/i0peY @wroush
Neutral,kindle2,"@sklososky Thanks so much!!! ...from one of your *very* happy Kindle2 winners ; ) I was so surprised, fabulous. Thank you! Best, Kathleen"
Neutral,kindle2,@cwong08 I have a Kindle2 (&amp; Sony PRS-500). Like it! Physical device feels good. Font is nice. Pg turns are snappy enuf. UI a little klunky.
Negative,kindle2,"The #Kindle2 seems the best eReader, but will it work in the UK and where can I get one?"
Neutral,google,"I have a google addiction. Thank you for pointing that out, @annamartin123. Hahaha."
Positive,Bobby Flay,has a date with bobby flay and gut fieri from food network
Negative,Bobby Flay,Excited about seeing Bobby Flay and Guy Fieri tomorrow at the Great American Food &amp; Music Fest!
Neutral,Bobby Flay,Gonna go see Bobby Flay 2moro at Shoreline. Eat and drink. Gonna be good.
Negative,Bobby Flay,can't wait for the great american food and music festival at shoreline tomorrow.  mmm...katz pastrami and bobby flay. yes please.
Neutral,Bobby Flay,"My dad was in NY for a day, we ate at MESA grill last night and met Bobby Flay. So much fun, except I completely lost my voice today."
Neutral,Bobby Flay,getting ready to test out some burger receipes this weekend. Bobby Flay has some great receipes to try. Thanks Bobby.
Negative,Bobby Flay,@johncmayer is Bobby Flay joining you?
Negative,Bobby Flay,i lam so in love with Bobby Flay... he is my favorite. RT @terrysimpson: @bflay you need a place in Phoenix. We have great peppers here!
