text,CompSci.topic,Physics.topic,Math.topic,Statistics.topic
"  In this work, we mainly study the influence of the 2D warping module for
one-shot face recognition.
",TRUE,FALSE,FALSE,FALSE
"  These are reminiscences of my interactions with Julian Schwinger from 1968
through 1981 and beyond.
",FALSE,TRUE,FALSE,FALSE
"  We present the strongest known knot invariant that can be computed
effectively (in polynomial time).
",FALSE,FALSE,TRUE,FALSE
"  In order to optimize the performance of the CRV, reflection studies and aging
studies were conducted.
",FALSE,TRUE,FALSE,FALSE
"  The liar paradox is widely seen as not a serious problem. I try to explain
why this view is mistaken.
",FALSE,FALSE,TRUE,FALSE
"  In this paper we construct some regular sequences which arise naturally from
determinantal conditions.
",FALSE,FALSE,TRUE,FALSE
"  We characterize all varieties with a torus action of complexity one that
admit iteration of Cox rings.
",FALSE,FALSE,TRUE,FALSE
"  Summarizes recent work on the wakefields and impedances of flat, metallic
plates with small corrugations
",FALSE,TRUE,FALSE,FALSE
"  We show that the two-weight estimate for the dyadic square function proved by
Lacey--Li in [2] is sharp.
",FALSE,FALSE,TRUE,FALSE
"  We define a Koszul sign map encoding the Koszul sign convention. A
cohomological interpretation is given.
",FALSE,FALSE,TRUE,FALSE
"  We determine the symmetrized topological complexity of the circle, using
primarily just general topology.
",FALSE,FALSE,TRUE,FALSE
"  In this note, we shall compute the categorical entropy of an autoequivalence
on a generic abelian surface.
",FALSE,FALSE,TRUE,FALSE
"  In this paper, we prove that positivity of denominator vectors holds for any
skew-symmetric cluster algebra.
",FALSE,FALSE,TRUE,FALSE
"  Just a survey on I0: The basics, some things known but never published, some
things published but not known.
",FALSE,FALSE,TRUE,FALSE
"  We prove a sharp Schwarz type inequality for the Weierstrass-Enneper
representation of the minimal surfaces.
",FALSE,FALSE,TRUE,FALSE
"  We determine systematic regions in which the bigraded homotopy sheaves of the
motivic sphere spectrum vanish.
",FALSE,FALSE,TRUE,FALSE
"  We give a detailed proof of some facts about the blow-up of horizontal curves
in Carnot-Carathéodory spaces.
",FALSE,FALSE,TRUE,FALSE
"  We present new large samples of Galactic Cepheids and RR Lyrae stars from the
OGLE Galaxy Variability Survey.
",FALSE,TRUE,FALSE,FALSE
"  Results in Wasan geometry of tangents circles can still be considered in a
singular case by the division by 0.
",FALSE,FALSE,TRUE,FALSE
"  In this paper, we show that any compact manifold that carries a
SL(n;R)-foliation is fibered on the circle S^1.
",FALSE,FALSE,TRUE,FALSE
"  Review of the third edition of ""Interferometry and Synthesis in Radio
Astronomy"" by Thompson, Moran and Swenson
",FALSE,TRUE,FALSE,FALSE
"  We establish the C^{1,1} regularity of quasi-psh envelopes in a Kahler class,
confirming a conjecture of Berman.
",FALSE,FALSE,TRUE,FALSE
"  We survey the dimension theory of self-affine sets for general mathematical
audience. The article is in Finnish.
",FALSE,FALSE,TRUE,FALSE
"  Comment on ""Dependency distance: a new perspective on syntactic patterns in
natural language"" by Haitao Liu et al
",TRUE,TRUE,FALSE,FALSE
"  We establish a Polya-Vinogradov-type bound for finite periodic multipicative
characters on the Gaussian integers.
",FALSE,FALSE,TRUE,FALSE
"  We present an introductory survey to first order logic for metric structures
and its applications to C*-algebras.
",FALSE,FALSE,TRUE,FALSE
"  In this paper, we propose a novel CS approach in which the acquisition of
non-visible information is also avoided.
",TRUE,FALSE,FALSE,FALSE
"  In this thesis, we study connections between metric and combinatorial graphs
from a Dirichlet space point of view.
",FALSE,FALSE,TRUE,FALSE
"  This report summarizes the discussions, open issues, take-away messages, and
conclusions of the 2nd SCAV workshop.
",TRUE,FALSE,FALSE,FALSE
"  We give the sharp conditions for boundedness of Hausdorff operators on
certain modulation and Wiener amalgam spaces.
",FALSE,FALSE,TRUE,FALSE
"  A personal recollection of events that preceded the construction of
Supergravity and of some subsequent developments.
",FALSE,TRUE,FALSE,FALSE
"  In this work, we prove that the growth of the Artin conductor is at most,
exponential in the degree of the character.
",FALSE,FALSE,TRUE,FALSE
"  In this note, we provide a conceptual explanation of a well-known polynomial
identity used in algebraic number theory.
",FALSE,FALSE,TRUE,FALSE
"  We provide a direct construction of Poletsky discs via local arc
approximation and a Runge-type theorem by A. Gournay.
",FALSE,FALSE,TRUE,FALSE
"  Necessary and sufficient conditions for finite semihypergroups to be built
from groups of the same order are established
",FALSE,FALSE,TRUE,FALSE
"  We construct examples of modular rigid Calabi--Yau threefolds, which give a
realization of some new weight 4 cusp forms.
",FALSE,FALSE,TRUE,FALSE
"  We demonstrate how one can see quantization of geometry, and quantum
algebraic structure in supersymmetric gauge theory.
",FALSE,FALSE,TRUE,FALSE
"  We provide a surprising answer to a question raised in S. Ahmad and A.C.
Lazer [2], and extend the results of that paper.
",FALSE,FALSE,TRUE,FALSE
"  A characterization of relative weak mixing in W*-dynamical systems in terms
of a relatively independent joining is proven.
",FALSE,FALSE,TRUE,FALSE
"  Millisecond pulsars (MSPs) have a great potential to set standards in
timekeeping, positioning and metadata communication.
",FALSE,TRUE,FALSE,FALSE
"  In this paper, we prove a functorial aspect of the formal geometric
quantization procedure of non-compact spin-c manifolds.
",FALSE,FALSE,TRUE,FALSE
"  A brief introduction to radar: principles, Doppler effect, antennas,
waveforms, power budget - and future radars. [13 pages]
",FALSE,TRUE,FALSE,FALSE
"  We give an elementary proof for the fact that an irreducible hyperbolic
polynomial has only one pair of hyperbolicity cones.
",FALSE,FALSE,TRUE,FALSE
"  We study effective versions of unlikely intersections of images of torsion
points of elliptic curves on the projective line.
",FALSE,FALSE,TRUE,FALSE
"  We study the integral transform which appeared in a different form in
Akhiezer's textbook ""Lectures on Integral Transforms"".
",FALSE,FALSE,TRUE,FALSE
"  Examining games from a fresh perspective we present the idea of game-inspired
and game-based algorithms, dubbed ""gamorithms"".
",TRUE,FALSE,FALSE,FALSE
"  In the present paper, we introduce some new families of elliptic curves with
positive rank arrising from Pythagorean triples.
",FALSE,FALSE,TRUE,FALSE
"  In this paper, an approach to controller design based on the cloud models,
without using the analog plant model is presented.
",TRUE,FALSE,FALSE,FALSE
"  We prove that if two knots are concordant, their involutive knot Floer
complexes satisfy a certain type of stable equivalence.
",FALSE,FALSE,TRUE,FALSE
"  We show that fundamental groups of compact, orientable, irreducible
3-manifolds with toroidal boundary are Grothendieck rigid.
",FALSE,FALSE,TRUE,FALSE
"  We study the action of the dihedral group on the (equivariant) cohomology of
the toric manifolds associated with cycle graphs.
",FALSE,FALSE,TRUE,FALSE
"  In this note, we present a new proof that the cyclotomic integers constitute
the full ring of integers in the cyclotomic field.
",FALSE,FALSE,TRUE,FALSE
"  Inspired by recent work of I. Baoulina, we give a simultaneous generalization
of the theorems of Chevalley-Warning and Morlaye.
",FALSE,FALSE,TRUE,FALSE
"  We present a projectively invariant description of planar linear 3-webs and
construct a counterexample to Gronwall's conjecture.
",FALSE,FALSE,TRUE,FALSE
"  This submissions has been withdrawn by arXiv administrators because the
submitter did not have the right to agree to our license.
",FALSE,TRUE,FALSE,FALSE
"  We discuss a monotone quantity related to Huisken's monotonicity formula and
some technical consequences for mean curvature flow.
",FALSE,FALSE,TRUE,FALSE
"  In this brief note we connect the discrete logarithm problem over prime
fields in the safe prime case to the logarithmic derivative.
",TRUE,FALSE,TRUE,FALSE
"  In this paper, we propose a new approach to Cwikel estimates both for the
Euclidean space and for the noncommutative Euclidean space.
",FALSE,FALSE,TRUE,FALSE
"  Let S be a finitely generated subsemigroup of Z^2. We derive a general
formula for the K-theory of the left regular C*-algebra for S.
",FALSE,FALSE,TRUE,FALSE
"  Contributions of the CODALEMA/EXTASIS experiment to the 35th International
Cosmic Ray Conference, 12-20 July 2017, Busan, South Korea.
",FALSE,TRUE,FALSE,FALSE
"  In this paper, we find all integers c having at least two representations as
a difference between a Fibonacci number and a power of 2.
",FALSE,FALSE,TRUE,FALSE
"  We give algorithms to construct the Néron Desingularization and the easy
case from \cite{KK} of the General Néron Desingularization.
",FALSE,FALSE,TRUE,FALSE
"  We lay foundations of the subject in the title, on which we build in another
paper devoted to isometries in spaces of Kähler metrics.
",FALSE,FALSE,TRUE,FALSE
"  We review topics in the theory of cellular automata and dynamical systems
that are related to the Moore-Myhill Garden of Eden theorem.
",FALSE,TRUE,TRUE,FALSE
"  We use grey forecast model to predict the future energy consumption of four
states in the U.S, and make some improvments to the model.
",FALSE,FALSE,FALSE,TRUE
"  In this paper we prove a global result for the Schrödinger map problem with
initial data with small Besov norm at critical regularity.
",FALSE,FALSE,TRUE,FALSE
"  We show that a finite unitary group which has orbits spanning the whole space
is necessarily the setwise stabilizer of a certain orbit.
",FALSE,FALSE,TRUE,FALSE
"  We revisit the Massey's method for rating and ranking in sports and
contextualize it as a general centrality measure in network science.
",TRUE,TRUE,FALSE,FALSE
"  A review of the replica symmetric solution of the classical and quantum,
infinite-range, Sherrington-Kirkpatrick spin glass is presented.
",FALSE,TRUE,FALSE,FALSE
"  A Boolean algebra carries a strictly positive exhaustive submeasure if and
only if it has a sequential topology that is uniformly Frechet.
",FALSE,FALSE,TRUE,FALSE
"  A complete proof is given of relative interpretability of Adjunctive Set
Theory with Extensionality in an elementary concatenation theory.
",FALSE,FALSE,TRUE,FALSE
"  In this paper we prove the Dichotomy Conjecture on the complexity of
nonuniform constraint satisfaction problems posed by Feder and Vardi.
",TRUE,FALSE,FALSE,FALSE
"  In this paper we review the recent progress in the (indefinite) string
density problem and its applications to the Camassa--Holm equation.
",FALSE,FALSE,TRUE,FALSE
"  We prove Lipschitz continuity of viscosity solutions to a class of two-phase
free boundary problems governed by fully nonlinear operators.
",FALSE,FALSE,TRUE,FALSE
"  By drawing an analogy with superfluid 4He vortices we suggest that dark
matter may consist of irreducibly small remnants of cosmic strings.
",FALSE,TRUE,FALSE,FALSE
"  Using process algebra, this paper describes the formalisation of the
process/semantics behind the purely event-driven programming language.
",TRUE,FALSE,FALSE,FALSE
"  We give a definition of viscosity solution for the minimal surface system and
prove a version of Allard regularity theorem in this setting.
",FALSE,FALSE,TRUE,FALSE
"  We offer the proofs that complete our article introducing the propositional
calculus called semi-intuitionistic logic with strong negation.
",FALSE,FALSE,TRUE,FALSE
"  In this paper, we strengthen the splitting theorem proved in [14, 15] and
provide a different approach using ideas from the weak KAM theory.
",FALSE,FALSE,TRUE,FALSE
"  In this short note we improve the best to date bound in Godbersen's
conjecture, and show some implications for unbalanced difference bodies.
",FALSE,FALSE,TRUE,FALSE
"  We use a variant of the technique in [Lac17a] to give sparse L^p(log(L))^4
bounds for a class of model singular and maximal Radon transforms
",FALSE,FALSE,TRUE,FALSE
"  This note is a commentary on the model-theoretic interpretation of
Grothendieck's double limit characterization of weak relative compactness.
",FALSE,FALSE,TRUE,FALSE
"  We construct a model of random groups of rank 7/4, and show that in this
model the random group has the exponential mesoscopic rank property.
",FALSE,FALSE,TRUE,FALSE
"  Generalize Kobayashi's example for the Noether inequality in dimension three,
we provide examples of n-folds of general type with small volumes.
",FALSE,FALSE,TRUE,FALSE
"  This article was withdrawn because (1) it was uploaded without the
co-authors' knowledge or consent, and (2) there are allegations of plagiarism.
",TRUE,FALSE,FALSE,FALSE
"  We construct constant mean curvature surfaces in euclidean space with genus
zero and n ends asymptotic to Delaunay surfaces using the DPW method.
",FALSE,FALSE,TRUE,FALSE
"  We study the commutative positive varieties of languages closed under various
operations: shuffle, renaming and product over one-letter alphabets.
",TRUE,FALSE,TRUE,FALSE
"  In this note, we will show a backwards uniqueness theorem of the mean
curvature flow with bounded second fundamental form in arbitrary codimension.
",FALSE,FALSE,TRUE,FALSE
"  We give an asymptotic formula for the number of biquadratic extensions of the
rationals of bounded discriminant that fail the Hasse norm principle.
",FALSE,FALSE,TRUE,FALSE
"  We provide a non-trivial measure of irrationality for a class of Mahler
numbers defined with infinite products which cover the Thue-Morse constant.
",FALSE,FALSE,TRUE,FALSE
"  We provide comments on the article ""High-dimensional simultaneous inference
with the bootstrap"" by Ruben Dezeure, Peter Buhlmann and Cun-Hui Zhang.
",FALSE,FALSE,FALSE,TRUE
"  We provide explicit formulas of Evans kernels, Evans-Selberg potentials and
fundamental metrics on potential-theoretically parabolic planar domains.
",FALSE,FALSE,TRUE,FALSE
"  Answering a question of the second listed author we show that there is no
tall Borel ideal minimal among all tall Borel ideals in the Katětov order.
",FALSE,FALSE,TRUE,FALSE
"  The main aim of the present paper is to represent an exact and simple proof
for FLT by using properties of the algebra identities and linear algebra.
",FALSE,FALSE,TRUE,FALSE
"  In this work, a generalization of pre-Grüss inequality is established.
Several bounds for the difference between two Čebyšev functional are
proved.
",FALSE,FALSE,TRUE,FALSE
"  We provide criteria for the cyclotomic quiver Hecke algebras of type C to be
semisimple. In the semisimple case, we construct the irreducible modules.
",FALSE,FALSE,TRUE,FALSE
"  We characterise finite axiomatisability and intractability of deciding
membership for universal Horn classes generated by finite loop-free
hypergraphs.
",TRUE,FALSE,TRUE,FALSE
"  We show that a reduct of the Zariski structure of an algebraic curve which is
not locally modular interprets a field, answering a question of Zilber's.
",FALSE,FALSE,TRUE,FALSE
"  For the polynomial ring over an arbitrary field with twelve variables, there
exists a prime ideal whose symbolic Rees algebra is not finitely generated.
",FALSE,FALSE,TRUE,FALSE
"  We study some basic properties of the class of universal operators on Hilbert
space, and provide new examples of universal operators and universal pairs.
",FALSE,FALSE,TRUE,FALSE
"  Assuming a conjecture about factorization homology with adjoints, we prove
the cobordism hypothesis, after Baez-Dolan, Costello, Hopkins-Lurie, and Lurie.
",FALSE,FALSE,TRUE,FALSE
"  We consider row sequences of vector valued Padé-Faber approximants
(simultaneous Padé-Faber approximants) and prove a Montessus de Ballore
type theorem.
",FALSE,FALSE,TRUE,FALSE
"  In an imaginary conversation with Guido Altarelli, I express my views on the
status of particle physics beyond the Standard Model and its future prospects.
",FALSE,TRUE,FALSE,FALSE
"  In this article, we give the explicit solutions to the Laplace equations
associated to the Dirac operator, Euler operator and the harmonic oscillator in
R.
",FALSE,FALSE,TRUE,FALSE
"  This is a survey article, based on the author's lectures in the 2015 AMS
Summer Research Institute in Algebraic Geometry, and to appear in the
Proceedings.
",FALSE,FALSE,TRUE,FALSE
"  This note corrects conditions in Proposition 3.4 and Theorem 5.2(ii) and
comments on imprecisions in Propositions 4.2 and 4.4 in Fissler and Ziegel
(2016).
",FALSE,FALSE,TRUE,TRUE
"  We study the continuity of space translations on non-parametric exponential
families based on the exponential Orlicz space with Gaussian reference density.
",FALSE,FALSE,TRUE,TRUE
"  The present paper is devoted to the description of finite-dimensional
semisimple Leibniz algebras over complex numbers, their derivations and
automorphisms.
",FALSE,FALSE,TRUE,FALSE
"  We construct constant mean curvature surfaces in euclidean space by gluing n
half Delaunay surfaces to a non-degenerate minimal n-noid, using the DPW
method.
",FALSE,FALSE,TRUE,FALSE
"  In this article, we discuss a probabilistic interpretation of McShane's
identity as describing a finite measure on the space of embedded paths though a
point.
",FALSE,FALSE,TRUE,FALSE
"  We formulate the so called ""VARMA covariance matching problem"" and
demonstrate the existence of a solution using the degree theory from
differential topology.
",FALSE,FALSE,TRUE,TRUE
"  We prove the Banach strong Novikov conjecture for groups having polynomially
bounded higher-order combinatorial functions. This includes all automatic
groups.
",FALSE,FALSE,TRUE,FALSE
"  In this paper we propose a new approach to obtain mixing least square
regression estimate by means of stochastic online mirror descent in
non-euclidian set-up.
",FALSE,FALSE,TRUE,FALSE
"  In this paper, algebroid bundle associated to affine metrics provide an
structure for unification of gravity and electromagnetism and, geometrization
of matter.
",FALSE,FALSE,TRUE,FALSE
"  We give a counter example to the new theorem that appeared in the survey
\cite{H} on Artin approximation. We then provide a correct statement and a
proof of it.
",FALSE,FALSE,TRUE,FALSE
"  We give a description of complex geodesics and we study the structure of
stationary discs in some non-convex domains for which complex geodesics are not
unique.
",FALSE,FALSE,TRUE,FALSE
"  In this paper, we shall prove that a grand Fujii-Fujii-Nakamoto operator
inequality implies operator order and operator chaotic order under different
conditions.
",FALSE,FALSE,TRUE,FALSE
"  This note studies the equivalencies among convergences of Ricci-flat
Kähler-Einstein metrics on Calabi-Yau manifolds, cohomology classes and
potential functions.
",FALSE,FALSE,TRUE,FALSE
"  In this article we give an approach to define continuous functional calculus
for bounded quaternionic normal operators defined on a right quaternionic
Hilbert space.
",FALSE,FALSE,TRUE,FALSE
"  Papers on the ANTARES multi-messenger program, prepared for the 35th
International Cosmic Ray Conference (ICRC 2017, Busan, South Korea) by the
ANTARES Collaboration
",FALSE,TRUE,FALSE,FALSE
"  The micro-local Gevrey regularity of a class of ""sums of squares"" with real
analytic coefficients is studied in detail. Some partial regularity result is
also given.
",FALSE,FALSE,TRUE,FALSE
"  We prove that a quasi-isometric map, and more generally a coarse embedding,
between pinched Hadamard manifolds is within bounded distance from a unique
harmonic map.
",FALSE,FALSE,TRUE,FALSE
"  We show that learning methods interpolating the training data can achieve
optimal rates for the problems of nonparametric regression and prediction with
square loss.
",FALSE,FALSE,FALSE,TRUE
"  It came to my attention after posting this paper that Yu Ding has proved the
same result before. I would like to apologize to Yu Ding for the appearance of
this paper.
",FALSE,FALSE,TRUE,FALSE
"  Dynamics reduces the orthorhombicity of magnetic stripes in La_2CuO_4+y. The
measured stripe incommensuration can be used to determine the oxygen content of
the sample.
",FALSE,TRUE,FALSE,FALSE
"  In this paper we prove the Hölder regularity of bounded, uniformly
continuous, viscosity solutions of some degenerate fully nonlinear equations in
the Heisenberg group.
",FALSE,FALSE,TRUE,FALSE
"  Recently, G. A. Freiman, M. Herzog, P. Longobardi, M. Maj proved two
`structure theorems' for ordered groups \cite{FHLM}. We give elementary proof
of these two theorems.
",FALSE,FALSE,TRUE,FALSE
"  The aim of the present manuscript is to present a novel proposal in Geometric
Control Theory inspired in the principles of General Relativity and
energy-shaping control.
",FALSE,FALSE,TRUE,FALSE
"  The purpose of this note is to provide a detailed proof of Nazarov's
inequality stated in Lemma A.1 in Chernozhukov, Chetverikov, and Kato (2017,
Annals of Probability).
",FALSE,FALSE,TRUE,TRUE
"  We prove some basic results on the dimension theory of algebraic stacks, and
on the multiplicities of their irreducible components, for which we do not know
a reference.
",FALSE,FALSE,TRUE,FALSE
"  We provide a local approximation result of non-holomorphic discs with small
d-bar by pseudoholomorphic ones. As an application, we provide a certain gluing
construction.
",FALSE,FALSE,TRUE,FALSE
"  The temperature coefficients for all the directions of the Nagoya muon
telescope were obtained. The zenith angular dependence of the temperature
coefficients was studied.
",FALSE,TRUE,FALSE,FALSE
"  We apply the method of nonlinear steepest descent to compute the long-time
asymptotics of the Toda lattice with steplike initial data corresponding to a
rarefaction wave.
",FALSE,TRUE,TRUE,FALSE
"  We introduce a gradient flow formulation of linear Boltzmann equations. Under
a diffusive scaling we derive a diffusion equation by using the machinery of
gradient flows.
",FALSE,FALSE,TRUE,FALSE
"  Computational approaches to finding non-trivial integer solutions of the
equation in the title are discussed. We summarize previous work and provide
several new solutions.
",FALSE,FALSE,TRUE,FALSE
"  We give a formula for computing the characteristic polynomial for certain
hyperplane arrangements in terms of the number of bipartite graphs of given
rank and cardinality.
",FALSE,FALSE,TRUE,FALSE
"  In this paper, we will prove the Weyl's law for the asymptotic formula of
Dirichlet eigenvalues on metric measure spaces with generalized Ricci curvature
bounded from below.
",FALSE,FALSE,TRUE,FALSE
"  The pseudoscalars in Garret Sobczyk's paper \emph{Simplicial Calculus with
Geometric Algebra} are not well defined. Therefore his calculus does not have a
proper foundation.
",FALSE,FALSE,TRUE,FALSE
"  We show various supercongruences for truncated series which involve central
binomial coefficients and harmonic numbers. The corresponding infinite series
are also evaluated.
",FALSE,FALSE,TRUE,FALSE
"  Some Poisson structures do admit resolutions by symplectic manifolds of the
same dimension. We give examples and simple conditions under which such
resolutions can not exist.
",FALSE,FALSE,TRUE,FALSE
"  We construct a cosection localized virtual structure sheaf when a
Deligne-Mumford stack is equipped with a perfect obstruction theory and a
cosection of the obstruction sheaf.
",FALSE,FALSE,TRUE,FALSE
"  Proceedings of the 2017 AdKDD and TargetAd Workshop held in conjunction with
the 23rd ACM SIGKDD Conference on Knowledge Discovery and Data Mining Halifax,
Nova Scotia, Canada.
",TRUE,FALSE,FALSE,FALSE
"  We note that the necessary and sufficient conditions established by Marcel
Riesz for the inclusion of regular Nörlund summation methods are in fact
applicable quite generally.
",FALSE,FALSE,TRUE,FALSE
"  Based on the work of Schoen-Yau, we derive an estimate of the first
eigenvalue of a Schrödinger Operator (the Jaocbi operator of minimal surfaces
in flat 3-spaces) on surfaces.
",FALSE,FALSE,TRUE,FALSE
"  In the present paper we study the existence of solutions for some nonlocal
problems involving the p(x)-Laplacian operator. The approach is based on a new
sub-supersolution method
",FALSE,FALSE,TRUE,FALSE
"  We prove that the sectional category of the universal fibration with fibre X,
for X any space that satisfies a well-known conjecture of Halperin, equals one
after rationalization.
",FALSE,FALSE,TRUE,FALSE
"  Answering a problem posed by the second author on Mathoverflow, we prove that
the connected countable Hausdorff spaces constructed by Bing and Ritter are
topologically homogeneous.
",FALSE,FALSE,TRUE,FALSE
"  I make some basic observations about hard takeoff, value alignment, and
coherent extrapolated volition, concepts which have been central in analyses of
superintelligent AI systems.
",TRUE,FALSE,FALSE,FALSE
"  In this paper we introduce a finite field analogue for the Appell series F_3
and give some reduction formulae and certain generating functions for this
function over finite fields.
",FALSE,FALSE,TRUE,FALSE
"  We give a brief description of the Birch-Swinnerton-Dyer conjecture and
present related conjectures. We describe the relation between the nilpotent
orbits of SL(2,R) and CM points.
",FALSE,FALSE,TRUE,FALSE
"  We show that there is no C^{k+1} diffeomorphism of the k-torus which is
semiconjugate to a minimal translation and has a wandering domain all of whose
iterates are Euclidean balls.
",FALSE,FALSE,TRUE,FALSE
"  In this paper, W*-algebras are presented as canonical colimits of diagrams of
matrix algebras and completely positive maps. In other words, matrix algebras
are dense in W*-algebras.
",TRUE,FALSE,TRUE,FALSE
"  Using our results about Lorentzian Kac--Moody algebras and arithmetic mirror
symmetry, we give six series of examples of lattice-polarized K3 surfaces with
automorphic discriminant.
",FALSE,FALSE,TRUE,FALSE
"  We compute the Frobenius number for sequences of triangular and tetrahedral
numbers. In addition, we study some properties of the numerical semigroups
associated to those sequences.
",FALSE,FALSE,TRUE,FALSE
"  We define a Newman property for BLD-mappings and study its connections to the
porosity of the branch set in the setting of generalized manifolds equipped
with complete path metrics.
",FALSE,FALSE,TRUE,FALSE
"  Social abstract argumentation is a principled way to assign values to
conflicting (weighted) arguments. In this note we discuss the important
property of the uniqueness of the model.
",TRUE,FALSE,FALSE,FALSE
"  This paper explains a method to calculate the coefficients of the
Alekseev-Torossian associator as linear combinations of iterated integrals of
Kontsevich weight forms of Lie graphs.
",FALSE,FALSE,TRUE,FALSE
"  We define Open Gromov-Witten invariants counting psudoholomorphic curves with
boundary of a fixed Euler characteristic. There is not obstruction in the
construction of the invariant.
",FALSE,FALSE,TRUE,FALSE
"  We present a three player Bayesian game for which there is no epsilon
equilibria in Borel measurable strategies for small enough epsilon, however
there are non-measurable equilibria.
",TRUE,FALSE,TRUE,FALSE
"  In this work, answer-set programs that specify repairs of databases are used
as a basis for solving computational and reasoning problems about causes for
query answers from databases.
",TRUE,FALSE,FALSE,FALSE
"  We study Segre varieties associated to Levi-flat subsets in complex manifolds
and apply them to establish local and global results on the integration of
tangent holomorphic foliations.
",FALSE,FALSE,TRUE,FALSE
"  We define a class of surfaces and surface pairs corresponding to the ADE root
lattices and construct compactifications of their moduli spaces, generalizing
Losev-Manin spaces of curves.
",FALSE,FALSE,TRUE,FALSE
"  We give a finite axiomatization for the variety generated by relational,
integral ordered monoids. As a corollary we get a finite axiomatization for the
language interpretation as well.
",FALSE,FALSE,TRUE,FALSE
"  We give a general method of extending unital completely positive maps to
amalgamated free products of C*-algebras. As an application we give a dilation
theoretic proof of Boca's Theorem.
",FALSE,FALSE,TRUE,FALSE
"  We consider recursive decoding techniques for RM codes, their subcodes, and
newly designed codes. For moderate lengths up to 512, we obtain near-optimum
decoding with feasible complexity.
",TRUE,FALSE,FALSE,FALSE
"  This paper proposes an innovative method for segmentation of skin lesions in
dermoscopy images developed by the authors, based on fuzzy classification of
pixels and histogram thresholding.
",TRUE,FALSE,FALSE,TRUE
"  Building on recent work of Bhargava--Elkies--Schnidman and Kriz--Li, we
produce infinitely many smooth cubic surfaces defined over the field of
rational numbers that contain rational points.
",FALSE,FALSE,TRUE,FALSE
"  We provide a counterexample of Wente's inequality in the context of Neumann
boundary conditions. We will also show that Wente's estimates fails for general
boundary conditions of Robin type.
",FALSE,FALSE,TRUE,FALSE
"  We present a definition of intersection homology for real algebraic varieties
that is analogous to Goresky and MacPherson's original definition of
intersection homology for complex varieties.
",FALSE,FALSE,TRUE,FALSE
"  We study how a single value of the shatter function of a set system restricts
its asymptotic growth. Along the way, we refute a conjecture of Bondy and
Hajnal which generalizes Sauer's Lemma.
",TRUE,FALSE,TRUE,FALSE
"  The classical quadratic formula and some of its lesser known variants for
solving the quadratic equation are reviewed. Then, a new formula for the roots
of a quadratic polynomial is presented.
",FALSE,FALSE,TRUE,FALSE
"  We construct new classes of self-similar groups : S-aritmetic groups, affine
groups and metabelian groups. Most of the soluble ones are finitely presented
and of type FP_{n} for appropriate n.
",FALSE,FALSE,TRUE,FALSE
